Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Outer Cost
0,0,-2.498386556467311,-5.340680016630034,-5.402353944441377,-5.960355669752218,-8.795018385247738,-5.278653920320034,-6.081076300036237,-5.932896975299042,-6.067533908601005,436.83399013949384
0,1,-6.904768872262028,-8.20487000221014,-4.918523628714906,-6.162413061531183,-9.721962752141593,-3.7651841171731597,-5.110982911740435,-3.414841169357942,-5.160582232185531,429.286484436691
0,2,-2.2796823646108524,-5.393445322571492,-4.817777040027443,-2.415147974085881,-4.40214979091543,-6.190525952160481,1.3975669409757847,-5.780947493556537,-6.069983693157049,434.9733828536267
0,3,-7.551919416106818,-3.747317441098774,-4.203166616992521,-8.234509639399436,-5.296942492273004,-3.5581272563301263,-7.70137615166501,-4.884025645332673,-7.276593405558689,440.8298292401503
0,4,-10.328146288190844,-8.952679003400057,-5.390457237701536,-2.3003042413970407,-7.7230992498038695,-2.3391831629851256,-5.34272441933953,-5.04286834159394,-5.070097488064346,428.80307099719334
0,5,-6.938687960072189,-6.95823178852011,-3.516516513262666,-5.917333366548933,-3.0524766892123516,-4.348115789861571,-4.515233484627283,-5.1159257557767015,-5.61764682425703,433.98331088086684
0,6,-6.626847705627833,-2.3135572662893433,-6.010045337630381,-3.6086735912294046,-7.645035161423372,-5.855998659319218,-7.4347228040843625,-5.171589361360667,-2.7650104637719557,426.323842979433
0,7,-5.721479458848066,-4.1776276890212625,-7.521611722433079,-3.783802691692679,-3.5484236251948627,-5.352254709308332,-4.9995576925251966,-5.232675380643367,-5.181258499342591,429.55155163320217
0,8,-1.8761315419665623,-5.8429592593050375,-6.297432759833232,-5.202358607348672,-4.419280775941995,-5.4635395238899145,-3.744289057545835,-6.726752770344607,-3.699258630290782,401.60935552196383
0,9,-7.524523722743716,-6.957774296848427,-6.243618508700672,-7.373725703031322,-3.4353786341886305,-7.901330970032401,-6.086681812193375,-6.1423280975906,-3.794905051286319,404.218189208507
0,10,-3.5203154019996123,-2.649189098691321,-5.868770457086672,-6.493909848176262,-3.8446504290989036,-5.992956185093273,-6.691466226512306,-5.690121805943157,-6.746241780532376,439.5562688780387
0,11,-4.494034752198044,-4.747286691534278,-4.410689876259576,-3.994361410481522,-4.605525775014809,-4.985678734798102,-6.7823084374212605,-6.504202235068913,-6.9184126090664595,440.1000335366542
0,12,-2.043530138054208,-7.967578828701109,-3.562968846813664,-5.85375506523568,-4.719080018619226,-6.218267079948863,-7.894470385832147,-3.949443927987267,-4.2297778905339145,412.9475093472795
0,13,-4.4842333991030365,-5.799027680033682,-3.3484234309440692,-3.9461267309937424,-5.543004689575101,-4.988106060007374,-9.601934809920625,-2.7619265302631186,-5.301155262186773,430.7160996629676
