Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Outer Cost
0,0,-2.498386556467311,-5.340680016630034,-5.402353944441377,-5.960355669752218,-8.795018385247738,-5.278653920320034,-6.081076300036237,-5.932896975299042,-6.067533908601005,1087.7759163358633
0,1,-6.904768872262028,-8.20487000221014,-4.918523628714906,-6.162413061531183,-9.721962752141593,-3.7651841171731597,-5.110982911740435,-3.414841169357942,-5.160582232185531,1067.6261430014306
0,2,-2.2796823646108524,-5.393445322571492,-4.817777040027443,-2.415147974085881,-4.40214979091543,-6.190525952160481,1.3975669409757847,-5.780947493556537,-6.069983693157049,1076.4409587273494
0,3,-7.551919416106818,-3.747317441098774,-4.203166616992521,-8.234509639399436,-5.296942492273004,-3.5581272563301263,-7.70137615166501,-4.884025645332673,-7.276593405558689,1098.2865885408341
0,4,-10.328146288190844,-8.952679003400057,-5.390457237701536,-2.3003042413970407,-7.7230992498038695,-2.3391831629851256,-5.34272441933953,-5.04286834159394,-5.070097488064346,1066.1091670532837
0,5,-6.938687960072189,-6.95823178852011,-3.516516513262666,-5.917333366548933,-3.0524766892123516,-4.348115789861571,-4.515233484627283,-5.1159257557767015,-5.61764682425703,1080.0640510282342
0,6,-6.626847705627833,-2.3135572662893433,-6.010045337630381,-3.6086735912294046,-7.645035161423372,-5.855998659319218,-7.4347228040843625,-5.171589361360667,-2.7650104637719557,843.4169194646868
0,7,-5.721479458848066,-4.1776276890212625,-7.521611722433079,-3.783802691692679,-3.5484236251948627,-5.352254709308332,-4.9995576925251966,-5.232675380643367,-5.181258499342591,1067.7881118073888
0,8,-1.8761315419665623,-5.8429592593050375,-6.297432759833232,-5.202358607348672,-4.419280775941995,-5.4635395238899145,-3.744289057545835,-6.726752770344607,-3.699258630290782,963.5389981307416
0,9,-7.524523722743716,-6.957774296848427,-6.243618508700672,-7.373725703031322,-3.4353786341886305,-7.901330970032401,-6.086681812193375,-6.1423280975906,-3.794905051286319,977.3294287965377
0,10,-3.5203154019996123,-2.649189098691321,-5.868770457086672,-6.493909848176262,-3.8446504290989036,-5.992956185093273,-6.691466226512306,-5.690121805943157,-6.746241780532376,1094.960639255693
0,11,-4.494034752198044,-4.747286691534278,-4.410689876259576,-3.994361410481522,-4.605525775014809,-4.985678734798102,-6.7823084374212605,-6.504202235068913,-6.9184126090664595,1096.3777164232977
0,12,-2.043530138054208,-7.967578828701109,-3.562968846813664,-5.85375506523568,-4.719080018619226,-6.218267079948863,-7.894470385832147,-3.949443927987267,-4.2297778905339145,1016.2584947161683
0,13,-4.4842333991030365,-5.799027680033682,-3.3484234309440692,-3.9461267309937424,-5.543004689575101,-4.988106060007374,-9.601934809920625,-2.7619265302631186,-5.301155262186773,1072.4501333289434
0,14,-7.711650502773308,-6.733650439661485,-4.002852254658429,-4.745694508137922,-3.9663814251252614,-4.108386866308184,-3.7285954415574087,-6.138722068804384,-4.159174572924579,1011.8051626582784
0,15,-5.442691684640526,-4.234702276674486,-5.955628505592869,-4.589556180766678,-5.346696966267136,-4.987135825745253,-4.457859014315077,-8.211796244904326,-3.5360138683599622,946.6051478708231
0,16,-2.6763125956355314,-9.607890343755656,-1.1356266120716998,-3.9268246117963006,-7.216490486527979,-4.777870405001319,-4.013218713312287,-3.493040373710622,-7.634826790934823,1099.6837903400462
0,17,-1.2027831192404967,-4.968483838948027,-4.037110656025622,-7.163232938652724,-4.032605205038898,-6.149891513334227,-5.638044419297388,-5.3450376678285325,-4.987703758016638,1058.8424578121005
0,18,-6.150522045426679,-1.9862759594885824,-8.076186914333563,-6.76078680083365,-5.290661193434125,-9.04561492904768,-4.912204277501569,-4.6105434462196,-4.364372478310729,1022.9438730710538
0,19,-4.623100475813175,-6.538528781267523,-6.248981525703586,-2.375856513853072,-5.964637430887822,-5.073907901898614,-1.5853751981544728,-7.0522968875276755,-2.5087226913670206,822.8894119219406
0,20,-7.684156352989323,-4.317826031910535,-2.701893248807633,-3.580808181461867,-3.837526780079892,-4.233488678126449,-0.9553231032419527,-7.949580490985721,-5.556770055958128,1077.1331803729631
0,21,-8.092120326433394,-5.070959026767541,-2.7240857019677263,-2.896681872597392,-6.998552006748902,-6.151088798096298,-0.2960171645952556,-4.746761976512483,-4.548280569514253,1032.1622135968996
0,22,-3.137826092807175,-3.927752968603053,-7.076091652577764,-3.2917831336233556,-7.506456599226933,-2.918885892138185,-5.392389364021239,-3.656261837625518,-6.992281744141078,1096.9660201612926
0,23,-6.902713305949596,-6.08101309287874,1.1327566896342436,-3.302327061273136,-9.16188095983545,-4.226254949291792,-3.4847691734250983,-2.823121206355353,-2.700677511440568,882.2983296623022
0,24,-2.6225151253814802,-5.764380049062088,-4.74979555744916,-3.809644591389521,-5.604428776633729,-4.945373161805006,-3.722210645585755,-5.829559974714382,-5.642132294135305,1080.1446318368812
1,0,-6.064669889138311,-3.1862504559372904,-6.013471808598787,-7.562909655026952,-8.099911004497065,-3.6805879009893765,-3.206144179085913,-3.85552469808142,-1.027168695431142,3040.9969614724023
1,1,-4.4870192207855695,-7.941473565786595,-3.4712194461465007,-3.16279226296312,-6.589781127575472,-1.9367112327795115,-6.124966104098257,-7.482795256794249,-5.241714157475677,1071.784300550074
1,2,-6.364450949113237,-5.46589146847925,-3.2902843351304867,-3.1534044531656726,-3.3977325779098404,-6.190857183303927,-6.601787876087116,-6.339580830142567,-3.010554599424259,879.4894279116711
1,3,-5.229244406086036,-4.930110333061502,-2.112731858143667,-2.9853192357086984,-8.697787490981245,-3.2480995065676828,-6.533593683383107,-4.718672256758426,0.8424885515491991,45321.8479183577
